Mercury_SC_405198	214a-9ca3-2983-aa79	rain is a kind of water	GROUNDING
Mercury_SC_405198	f3ed-dedc-2aad-109c	a plants or living things require water for survival or to grow	CENTRAL
Mercury_SC_405198	b8a3-ad63-f3c1-078b	if members of a species are born or survive then the population of that species increases	CENTRAL
Mercury_SC_405198	19f5-4162-4c01-59aa	increase means more	LEXGLUE
Mercury_SC_405198	2171-5edd-a3d0-f2c2	species means a group of like organisms	LEXGLUE
Mercury_SC_405198	26c3-eec4-e1d0-fac5	a plant is a kind of organism	GROUNDING
Mercury_SC_405198	296e-c3bd-d88a-2edf	as the amount of rainfall increases in an area , the amount of available water in that area will increase	CENTRAL
Mercury_SC_405198	f2a1-5807-2b1e-fef3	rainfall is the amount of rain an area receives	LEXGLUE
Mercury_SC_405198	1800-f69c-1283-7d49	habitat is similar to environment	LEXGLUE
Mercury_SC_405198	1240-2639-9a5f-96cd	an environment means an area	LEXGLUE
Mercury_SC_405198	e124-fe21-9a74-45f3	as the available water in an environment increases , the populations of organisms in that environment will increase	CENTRAL
Mercury_SC_405298	679c-fab2-a001-db1e	to be used for something means to help to do that something	ROLE
Mercury_SC_405298	be5b-b488-31a4-416e	fast means quickly	ROLE
Mercury_SC_405298	f39e-99d0-faec-c532	an airplane is fast in speed	CENTRAL
Mercury_SC_405298	f5f4-d4dd-cf26-09d5	travel means to move	LEXGLUE
Mercury_SC_405298	c1b8-6b6a-cfa4-5354	a airplane is used for moving people or products across bodies of water or to far away places	CENTRAL
Mercury_SC_405298	efcb-faab-cd79-cd07	inventing a tool allows or enables that tool to be used	CENTRAL
Mercury_SC_405298	2b96-b294-3abb-3f9b	a vehicle is a kind of tool for travel or transport	GROUNDING
Mercury_SC_405298	182e-6373-acc4-bde3	an airplane is a kind of vehicle	GROUNDING
VASoL_2007_3_6	f4dc-5030-6255-a1f8	humans changing ecosystems or environments usually has a negative impact on an ecosystem or organisms living in an ecosystem	CENTRAL
VASoL_2007_3_6	7bad-20c8-07a5-3c70	leave alone means not change	LEXGLUE
VASoL_2007_3_6	7828-f424-7e86-a420	humans changing animal habitats usually causes harm to those animals	CENTRAL
VASoL_2007_3_6	b80f-f372-967d-6ac4	an aquatic animal is a kind of animal	GROUNDING
VASoL_2007_3_6	a94e-e849-c066-fecd	a fish is a kind of aquatic animal	GROUNDING
