Mercury_SC_405198	Which/which/WDT/null/NA/0.0/increase|nsubj/which|nmod:of of/of/IN/null/NA/0.0/these|case/ these/these/DT/null/NA/0.0/which|nmod:of/these|case will/will/MD/null/NA/0.0/increase|aux/ most/most/RBS/null/Abstract/2.38/likely|advmod/ likely/likely/JJ/null/Abstract/1.76/increase|amod/likely|advmod increase/increase/NN/null/Abstract/2.61//increase|nsubj|increase|aux|increase|amod|increase|dobj|increase|nmod:in|increase|punct a/a/DT/null/NA/0.0/population|det/ plant/plant/NN/null/Concrete/4.76/population|compound/ population/population/NN/null/Focus/3.64/increase|dobj/population|det|population|compound in/in/IN/null/NA/0.0/habitat|case/ a/a/DT/null/NA/0.0/habitat|det/ habitat/habitat/NN/null/Focus/3.9/increase|nmod:in/habitat|case|habitat|det ?/?/./null/NA/0.0/increase|punct/	more/more/RBR/null/Abstract/2.37/day|amod/ days/day/NNS/null/Focus/3.36//day|amod|day|nmod:of of/of/IN/null/NA/0.0/shower|case/ rain/rain/NN/null/Concrete/4.97/shower|compound/ showers/shower/NNS/null/NA/null/day|nmod:of/shower|case|shower|compound	subj-Which will likely increase|subjl-which will likely increase|obj-habitat|objl-habitat|rel-is in|rel-be in|[Which will likely increase,is in,habitat]|[which will likely increase,be in,habitat]
Mercury_SC_415013	Which/which/WDT/null/NA/0.0/change|det/ rapid/rapid/JJ/null/Focus/3.07/change|amod/ changes/change/NNS/null/NA/null/cause|nsubjpass/change|det|change|amod are/be/VBP/null/Abstract/1.96/cause|auxpass/ caused/cause/VBN/null/NA/null//cause|nsubjpass|cause|auxpass|cause|nmod:agent|cause|punct by/by/IN/null/NA/0.0/heat|case/ heat/heat/NN/null/Focus/3.79/cause|nmod:agent/heat|case|heat|nmod:inside from/from/IN/null/NA/0.0/Earth|case/ inside/inside/IN/null/NA/0.0/Earth|case/ Earth/Earth/NNP/null/Concrete/4.8/heat|nmod:inside/Earth|case|Earth|case ?/?/./null/NA/0.0/cause|punct/	volcanoes/volcano/NNS/null/NA/null//
Mercury_SC_405298	Which/which/WDT/null/NA/0.0/invention|det/ invention/invention/NN/null/Focus/3.48/help|nsubj/invention|det will/will/MD/null/NA/0.0/help|aux/ best/best/RB/null/Abstract/1.6/help|advmod/ help/help/VB/null/Abstract/2.56//help|nsubj|help|aux|help|advmod|help|ccomp|help|punct people/people/NNS/null/Concrete/4.82/travel|nsubj/ travel/travel/VB/null/Focus/3.67/help|ccomp/travel|nsubj|travel|advmod|travel|nmod:to quickly/quickly/RB/null/Abstract/2.36/travel|advmod/ to/to/TO/null/NA/0.0/place|case/ far/far/RB/null/Abstract/2.71/away|advmod/ away/away/RB/null/Abstract/2.23/place|amod/away|advmod places/place/NNS/null/NA/null/travel|nmod:to/place|case|place|amod ?/?/./null/NA/0.0/help|punct/	airplane/airplane/NN/null/Concrete/4.96//	subj-people|subjl-people|obj-away places|objl-away place|rel-travel quickly to|rel-travel quickly to|[people,travel quickly to,away places]|[people,travel quickly to,away place]/subj-people|subjl-people|obj-far away places|objl-far away place|rel-travel to|rel-travel to|[people,travel to,far away places]|[people,travel to,far away place]/subj-people|subjl-people|obj-places|objl-place|rel-travel to|rel-travel to|[people,travel to,places]|[people,travel to,place]/subj-people|subjl-people|obj-places|objl-place|rel-travel quickly to|rel-travel quickly to|[people,travel quickly to,places]|[people,travel quickly to,place]/subj-people|subjl-people|obj-away places|objl-away place|rel-travel to|rel-travel to|[people,travel to,away places]|[people,travel to,away place]/subj-people|subjl-people|obj-far away places|objl-far away place|rel-travel quickly to|rel-travel quickly to|[people,travel quickly to,far away places]|[people,travel quickly to,far away place]
VASoL_2007_3_6	A/a/DT/null/NA/0.0/habitat|det/ wetland/wetland/NN/null/Concrete/4.29/habitat|compound/ habitat/habitat/NN/null/Focus/3.9/continue|nsubj|support|nsubj:xsubj/habitat|det|habitat|compound can/can/MD/null/NA/0.0/continue|aux/ continue/continue/VB/null/Abstract/2.36//continue|nsubj|continue|aux|continue|xcomp|continue|punct to/to/TO/null/NA/0.0/support|mark/ support/support/VB/null/Abstract/2.83/continue|xcomp/support|nsubj:xsubj|support|mark|support|dobj|support|dobj the/the/DT/null/NA/0.0/bird|det/ birds/bird/NNS/null/NA/null/support|dobj|live|nsubj/bird|det|bird|cc|bird|conj:and|bird|ref|bird|acl:relcl and/and/CC/null/NA/0.0/bird|cc/ fish/fish/NN/null/Concrete/5.0/support|dobj|bird|conj:and|live|nsubj/ that/that/WDT/null/NA/0.0/bird|ref/ live/live/VBP/null/Focus/3.57/bird|acl:relcl/live|nsubj|live|nsubj|live|advmod there/there/EX/null/NA/0.0/live|advmod/there|advcl:if if/if/IN/null/NA/0.0/___|mark/ people/people/NNS/null/Concrete/4.82/___|nsubj/ ___/___/VBP/null/NA/null/there|advcl:if/___|mark|___|nsubj ./././null/NA/0.0/continue|punct/	leave/leave/VB/null/Abstract/2.53//leave|dobj|leave|advmod the/the/DT/null/NA/0.0/land|det/ land/land/NN/null/Concrete/4.57/leave|dobj/land|det alone/alone/RB/null/Abstract/2.86/leave|advmod/	subj-wetland habitat|subjl-wetland habitat|obj-fish|objl-fish|rel-support|rel-support|[wetland habitat,support,fish]|[wetland habitat,support,fish]/subj-wetland habitat|subjl-wetland habitat|obj-birds|objl-bird|rel-support|rel-support|[wetland habitat,support,birds]|[wetland habitat,support,bird]
Mercury_SC_416525	Randall/Randall/NNP/null/NA/null/pick|nsubj/ is/be/VBZ/null/Abstract/1.59/pick|aux/ picking/pick/VBG/null/NA/null//pick|nsubj|pick|aux|pick|dobj|pick|nmod:from|pick|nmod:for|pick|punct lettuce/lettuce/NN/null/Concrete/4.97/pick|dobj/ from/from/IN/null/NA/0.0/garden|case/ his/he/PRP$/null/NA/0.0/garden|nmod:poss/ garden/garden/NN/null/Concrete/4.73/pick|nmod:from/garden|case|garden|nmod:poss for/for/IN/null/NA/0.0/dinner|case/ dinner/dinner/NN/null/Concrete/4.5/pick|nmod:for/dinner|case ./././null/NA/0.0/pick|punct/ His/he/PRP$/null/NA/0.0/mother|nmod:poss/ mother/mother/NN/null/Concrete/4.6/tell|nsubj/mother|nmod:poss told/tell/VBD/null/Abstract/2.31//tell|nsubj|tell|dobj|tell|xcomp|tell|punct him/he/PRP/null/NA/0.0/tell|dobj|leave|nsubj:xsubj/ to/to/TO/null/NA/0.0/leave|mark/ leave/leave/VB/null/Abstract/2.53/tell|xcomp/leave|nsubj:xsubj|leave|mark|leave|dobj some/some/DT/null/NA/0.0/leaf|det/ leaves/leaf/NNS/null/Concrete/4.78/leave|dobj/leaf|det|leaf|nmod:on on/on/IN/null/NA/0.0/plant|case/ each/each/DT/null/NA/0.0/plant|det/ plant/plant/NN/null/Concrete/4.76/leaf|nmod:on/plant|case|plant|det ./././null/NA/0.0/tell|punct/ Why/why/WRB/null/Abstract/1.86/leave|advmod/ is/be/VBZ/null/Abstract/1.59/leave|aux/ it/it/PRP/null/NA/0.0/leave|nsubj/ important/important/JJ/null/Abstract/2.14/leave|dep/ to/to/TO/null/NA/0.0/leave|mark/ leave/leave/VB/null/Abstract/2.53//leave|advmod|leave|aux|leave|nsubj|leave|dep|leave|mark|leave|dobj|leave|punct some/some/DT/null/NA/0.0/leaf|det/ leaves/leaf/NNS/null/Concrete/4.78/leave|dobj/leaf|det|leaf|nmod:on on/on/IN/null/NA/0.0/plant|case/ the/the/DT/null/NA/0.0/plant|det/ plant/plant/NN/null/Concrete/4.76/leaf|nmod:on/plant|case|plant|det ?/?/./null/NA/0.0/leave|punct/	Leaves/leave/VBZ/null/Concrete/4.78/help|aux/ help/help/VB/null/Abstract/2.56//help|aux|help|ccomp|help|punct the/the/DT/null/NA/0.0/plant|det/ plant/plant/NN/null/Concrete/4.76/make|nsubj/plant|det make/make/VB/null/Abstract/2.67/help|ccomp/make|nsubj|make|dobj food/food/NN/null/Concrete/4.8/make|dobj/ ./././null/NA/0.0/help|punct/	subj-Randall|subjl-Randall|obj-lettuce|objl-lettuce|rel-is picking|rel-be pick|[Randall,is picking,lettuce]|[Randall,be pick,lettuce]/subj-Randall|subjl-Randall|obj-his garden|objl-he garden|rel-is picking lettuce from|rel-be pick lettuce from|[Randall,is picking lettuce from,his garden]|[Randall,be pick lettuce from,he garden]/subj-Randall|subjl-Randall|obj-dinner|objl-dinner|rel-is picking lettuce for|rel-be pick lettuce for|[Randall,is picking lettuce for,dinner]|[Randall,be pick lettuce for,dinner]/subj-him|subjl-he|obj-leaves on plant|objl-leaf on plant|rel-leave|rel-leave|[him,leave,leaves on plant]|[he,leave,leaf on plant]/subj-His mother|subjl-he mother|obj-him|objl-he|rel-told|rel-tell|[His mother,told,him]|[he mother,tell,he]/subj-it|subjl-it|obj-leaves|objl-leaf|rel-is leave|rel-be leave|[it,is leave,leaves]|[it,be leave,leaf]/subj-it|subjl-it|obj-leaves on plant|objl-leaf on plant|rel-is leave|rel-be leave|[it,is leave,leaves on plant]|[it,be leave,leaf on plant]	subj-plant|subjl-plant|obj-food|objl-food|rel-make|rel-make|[plant,make,food]|[plant,make,food]
VASoL_2010_3_38	A/a/DT/null/NA/0.0/company|det/ company/company/NN/null/Focus/4.11/plant|nsubj/company|det plants/plant/NNS/null/NA/null//plant|nsubj|plant|dobj|plant|nmod:on|plant|punct trees/tree/NNS/null/NA/null/plant|dobj/ on/on/IN/null/NA/0.0/hillside|case/ a/a/DT/null/NA/0.0/hillside|det/ bare/bare/JJ/null/Focus/3.21/hillside|amod/ hillside/hillside/NN/null/Concrete/4.78/plant|nmod:on/hillside|case|hillside|det|hillside|amod ./././null/NA/0.0/plant|punct/ Which/which/WDT/null/NA/0.0/reason|nsubj/which|nmod:of of/of/IN/null/NA/0.0/these|case/ these/these/DT/null/NA/0.0/which|nmod:of/these|case is/be/VBZ/null/Abstract/1.59/reason|cop/ the/the/DT/null/NA/0.0/reason|det/ BEST/BEST/NNP/null/Abstract/1.6/reason|compound/ reason/reason/NN/null/Abstract/1.93//reason|nsubj|reason|cop|reason|det|reason|compound|reason|acl:for|reason|punct for/for/IN/null/NA/0.0/plant|mark/ planting/plant/VBG/null/Focus/3.63/reason|acl:for/plant|mark|plant|dobj the/the/DT/null/NA/0.0/tree|det/ trees/tree/NNS/null/NA/null/plant|dobj/tree|det ?/?/./null/NA/0.0/reason|punct/	The/the/DT/null/NA/0.0/tree|det/ trees/tree/NNS/null/NA/null/prevent|nsubj/tree|det prevent/prevent/VBP/null/Abstract/2.34//prevent|nsubj|prevent|dobj|prevent|advcl:from|prevent|punct soil/soil/NN/null/Concrete/4.87/prevent|dobj/ from/from/IN/null/NA/0.0/wash|mark/ washing/wash/VBG/null/Concrete/4.44/prevent|advcl:from/wash|mark|wash|advmod away/away/RB/null/Abstract/2.23/wash|advmod/ ./././null/NA/0.0/prevent|punct/	subj-company|subjl-company|obj-hillside|objl-hillside|rel-plants trees on|rel-plant tree on|[company,plants trees on,hillside]|[company,plant tree on,hillside]/subj-company|subjl-company|obj-trees|objl-tree|rel-plants|rel-plant|[company,plants,trees]|[company,plant,tree]/subj-company|subjl-company|obj-bare hillside|objl-bare hillside|rel-plants trees on|rel-plant tree on|[company,plants trees on,bare hillside]|[company,plant tree on,bare hillside]/	subj-trees|subjl-tree|obj-washing|objl-wash|rel-prevent soil|rel-prevent soil|[trees,prevent soil,washing]|[tree,prevent soil,wash]/subj-trees|subjl-tree|obj-washing away|objl-wash away|rel-prevent soil|rel-prevent soil|[trees,prevent soil,washing away]|[tree,prevent soil,wash away]/subj-trees|subjl-tree|obj-soil|objl-soil|rel-prevent|rel-prevent|[trees,prevent,soil]|[tree,prevent,soil]
Mercury_SC_405207	Which/which/WDT/null/NA/0.0/activity|det/ activity/activity/NN/null/Abstract/2.72/have|nsubj/activity|det has/have/VBZ/null/NA/null//have|nsubj|have|dobj|have|dep|have|punct the/the/DT/null/NA/0.0/invention|det/ invention/invention/NN/null/Focus/3.48/have|dobj/invention|det|invention|nmod:of of/of/IN/null/NA/0.0/bulb|case/ the/the/DT/null/NA/0.0/bulb|det/ light/light/JJ/null/Concrete/4.21/bulb|amod/ bulb/bulb/NN/null/Concrete/4.93/invention|nmod:of/bulb|case|bulb|det|bulb|amod helped/help/VBD/null/NA/null/have|dep/help|dobj the/the/DT/null/NA/0.0/most|det/ most/most/RBS/null/Abstract/2.38/help|dobj/most|det ?/?/./null/NA/0.0/have|punct/	reading/reading/NN/null/Focus/3.71//
Mercury_SC_415703	One/one/CD/null/NA/0.0/cause|nummod/ cause/cause/NN/null/Abstract/2.43/cause|nsubjpass/cause|nummod|cause|nmod:of|cause|nmod:in of/of/IN/null/NA/0.0/heat|case/ heat/heat/NN/null/Focus/3.79/cause|nmod:of/heat|case in/in/IN/null/NA/0.0/engine|case/ a/a/DT/null/NA/0.0/engine|det/ car/car/NN/null/Concrete/4.89/engine|compound/ engine/engine/NN/null/Concrete/4.86/cause|nmod:in/engine|case|engine|det|engine|compound is/be/VBZ/null/Abstract/1.59/cause|auxpass/ caused/cause/VBN/null/NA/null//cause|nsubjpass|cause|auxpass|cause|nmod:agent|cause|punct by/by/IN/null/NA/0.0/friction|case/ friction/friction/NN/null/Focus/3.0/cause|nmod:agent/friction|case|friction|nmod:between between/between/IN/null/NA/0.0/part|case/ parts/part/NNS/null/NA/null/friction|nmod:between/part|case ./././null/NA/0.0/cause|punct/ Which/which/WDT/null/NA/0.0/reduce|nsubj/which|nmod:of of/of/IN/null/NA/0.0/these|case/ these/these/DT/null/NA/0.0/which|nmod:of/these|case reduces/reduce/VBZ/null/NA/null//reduce|nsubj|reduce|dobj|reduce|punct the/the/DT/null/NA/0.0/amount|det/ amount/amount/NN/null/Abstract/2.74/reduce|dobj/amount|det|amount|nmod:of of/of/IN/null/NA/0.0/heat|case/ heat/heat/NN/null/Focus/3.79/amount|nmod:of/heat|case|heat|acl produced/produce/VBN/null/Abstract/2.68/heat|acl/produce|nmod:by by/by/IN/null/NA/0.0/friction|case/ friction/friction/NN/null/Focus/3.0/produce|nmod:by/friction|case ?/?/./null/NA/0.0/reduce|punct/	oil/oil/NN/null/Concrete/4.93//	subj-One cause|subjl-one cause|obj-car engine|objl-car engine|rel-is in|rel-be in|[One cause,is in,car engine]|[one cause,be in,car engine]/
VASoL_2008_3_22	A/a/DT/null/NA/0.0/sign|det/ sign/sign/NN/null/Concrete/4.62/be|nsubj/sign|det|sign|ccomp that/that/IN/null/NA/0.0/go|mark/ an/a/DT/null/NA/0.0/tree|det/ apple/apple/NN/null/Concrete/5.0/tree|compound/ tree/tree/NN/null/Concrete/5.0/go|nsubj|start|nsubj:xsubj/tree|det|tree|compound is/be/VBZ/null/Abstract/1.59/go|aux/ going/go/VBG/null/Abstract/2.69/sign|ccomp/go|mark|go|nsubj|go|aux|go|xcomp to/to/TO/null/NA/0.0/start|mark/ start/start/VB/null/Abstract/2.71/go|xcomp/start|nsubj:xsubj|start|mark|start|dobj growing/grow/VBG/null/Abstract/2.89/apple|amod/ apples/apple/NNS/null/NA/null/start|dobj/apple|amod is/be/VBZ/null/Abstract/1.59//be|nsubj|be|advcl|be|punct when/when/WRB/null/Abstract/1.6/have|advmod/ the/the/DT/null/NA/0.0/tree|det/ tree/tree/NN/null/Concrete/5.0/have|nsubj/tree|det has/have/VBZ/null/NA/null/be|advcl/have|advmod|have|nsubj|have|dobj ___/___/CD/null/NA/0.0/have|dobj/ ./././null/NA/0.0/be|punct/	flowers/flower/NNS/null/NA/null//	subj-apple tree|subjl-apple tree|obj-growing apples|objl-grow apple|rel-start|rel-start|[apple tree,start,growing apples]|[apple tree,start,grow apple]/subj-apple tree|subjl-apple tree|obj-apples|objl-apple|rel-start|rel-start|[apple tree,start,apples]|[apple tree,start,apple]/subj-tree|subjl-tree|obj-___|objl-___|rel-has|rel-have|[tree,has,___]|[tree,have,___]
VASoL_2009_3_3	Which/which/WDT/null/NA/0.0/have|nsubj/which|nmod:of of/of/IN/null/NA/0.0/list|case/ these/these/DT/null/NA/0.0/list|det/ lists/list/NNS/null/NA/null/which|nmod:of/list|case|list|det has/have/VBZ/null/NA/null//have|nsubj|have|dobj|have|punct only/only/RB/null/Abstract/2.41/product|advmod/ products/product/NNS/null/NA/null/have|dobj|come|nsubj/product|advmod|product|ref|product|acl:relcl that/that/WDT/null/NA/0.0/product|ref/ come/come/VBP/null/Abstract/2.72/product|acl:relcl/come|nsubj|come|nmod:from from/from/IN/null/NA/0.0/plant|case/ plants/plant/NNS/null/NA/null/come|nmod:from/plant|case ?/?/./null/NA/0.0/have|punct/	Paper/Paper/NNP/null/Concrete/4.93//Paper|punct|Paper|conj:and|Paper|punct|Paper|cc|Paper|conj:and ,/,/,/null/NA/0.0/Paper|punct/ spices/spice/NNS/null/Concrete/4.66/Paper|conj:and/ ,/,/,/null/NA/0.0/Paper|punct/ and/and/CC/null/NA/0.0/Paper|cc/ fibers/fiber/NNS/null/NA/null/Paper|conj:and/
