ec0a-ecbf-8142-bbe8	a/a/DT/null/NA/0.0/rod|det/ rod/rod/NN/null/Concrete/4.43/kind|nsubj/rod|det is/be/VBZ/null/Abstract/1.59/kind|cop/ a/a/DT/null/NA/0.0/object|det:qmod/a|mwe|a|mwe kind/kind/NN/null/Abstract/2.07/a|mwe/kind|nsubj|kind|cop of/of/IN/null/NA/0.0/a|mwe/ object/object/NN/null/Focus/3.66//object|det:qmod	KINDOF	
b94c-5bde-8d46-29de	a/a/DT/null/NA/0.0/factor|det/ factor/factor/NN/null/Abstract/2.79/impact|nsubj/factor|det impacts/impact/VBZ/null/NA/null//impact|nsubj|impact|dobj something/something/NN/null/Abstract/1.82/impact|dobj/	PROTO-ACTION	subj-factor|subjl-factor|obj-something|objl-something|rel-impacts|rel-impact|[factor,impacts,something]|[factor,impact,something]
4dc0-19c7-104a-0ddf	both/both/DT/null/NA/0.0/mean|nsubj/ means/mean/VBZ/null/Abstract/1.93//mean|nsubj|mean|dobj two/two/CD/null/NA/0.0/mean|dobj/	SYNONYMY	subj-both|subjl-both|obj-two|objl-two|rel-means|rel-mean|[both,means,two]|[both,mean,two]
1946-b43f-82d5-547d	rubber/rubber/NN/null/Concrete/4.86/kind|nsubj/ is/be/VBZ/null/Abstract/1.59/kind|cop/ a/a/DT/null/NA/0.0/material|det:qmod/a|mwe|a|mwe kind/kind/NN/null/Abstract/2.07/a|mwe/kind|nsubj|kind|cop of/of/IN/null/NA/0.0/a|mwe/ material/material/NN/null/Concrete/4.26//material|det:qmod	KINDOF	
dda0-d5ba-63eb-7efa	bacteria/bacterium/NNS/null/Focus/4.14/small|nsubj|microscopic|nsubj/ is/be/VBZ/null/Abstract/1.59/small|cop/ small/small/JJ/null/Focus/3.22//small|nsubj|small|cop|small|cc|small|conj:or|small|nmod:in or/or/CC/null/NA/0.0/small|cc/ microscopic/microscopic/JJ/null/Focus/3.46/small|conj:or/microscopic|nsubj in/in/IN/null/NA/0.0/size|case/ size/size/NN/null/Focus/3.13/small|nmod:in/size|case	PROTO-PROPERTIES-THINGS	subj-bacteria|subjl-bacterium|obj-size|objl-size|rel-is small in|rel-be small in|[bacteria,is small in,size]|[bacterium,be small in,size]/subj-bacteria|subjl-bacterium|obj-small|objl-small|rel-is|rel-be|[bacteria,is,small]|[bacterium,be,small]
3b5e-b61a-38ed-faa2	if/if/IN/null/NA/0.0/make|mark/ two/two/CD/null/NA/0.0/thing|nummod/ things/thing/NNS/null/NA/null/make|nsubjpass/thing|nummod are/be/VBP/null/Abstract/1.96/make|auxpass/ made/make/VBN/null/Abstract/2.52//make|mark|make|nsubjpass|make|auxpass|make|nmod:from|make|nmod:from from/from/IN/null/NA/0.0/object|case/ the/the/DT/null/NA/0.0/object|det/ same/same/JJ/null/Abstract/2.64/object|amod/ objects/object/NNS/null/NA/null/make|nmod:from/object|case|object|det|object|amod|object|cc|object|conj:or|object|dep or/or/CC/null/NA/0.0/object|cc/ material/material/NN/null/Concrete/4.26/make|nmod:from|object|conj:or/ then/then/RB/null/Abstract/1.44/similar|advmod/ those/those/DT/null/NA/0.0/thing|det/ two/two/CD/null/NA/0.0/thing|nummod/ things/thing/NNS/null/NA/null/similar|nsubj/thing|det|thing|nummod are/be/VBP/null/Abstract/1.96/similar|cop/ similar/similar/JJ/null/Abstract/2.46/object|dep/similar|advmod|similar|nsubj|similar|cop	PROTO-IF-THEN	subj-things|subjl-thing|obj-same objects|objl-same object|rel-are made from|rel-be make from|[things,are made from,same objects]|[thing,be make from,same object]/subj-two things|subjl-two thing|obj-similar|objl-similar|rel-are|rel-be|[two things,are,similar]|[two thing,be,similar]/subj-two things|subjl-two thing|obj-made|objl-make|rel-are|rel-be|[two things,are,made]|[two thing,be,make]/subj-two things|subjl-two thing|obj-objects|objl-object|rel-are made from|rel-be make from|[two things,are made from,objects]|[two thing,be make from,object]/subj-two things|subjl-two thing|obj-then similar|objl-then similar|rel-are|rel-be|[two things,are,then similar]|[two thing,be,then similar]/subj-things|subjl-thing|obj-similar|objl-similar|rel-are|rel-be|[things,are,similar]|[thing,be,similar]/subj-things|subjl-thing|obj-made|objl-make|rel-are|rel-be|[things,are,made]|[thing,be,make]/subj-two things|subjl-two thing|obj-same objects|objl-same object|rel-are made from|rel-be make from|[two things,are made from,same objects]|[two thing,be make from,same object]/subj-things|subjl-thing|obj-objects|objl-object|rel-are made from|rel-be make from|[things,are made from,objects]|[thing,be make from,object]/subj-things|subjl-thing|obj-then similar|objl-then similar|rel-are|rel-be|[things,are,then similar]|[thing,be,then similar]
372c-33f0-9c33-ca83	if/if/IN/null/NA/0.0/heated|mark/ gas/gas/NN/null/Concrete/4.29/heated|nsubj/ is/be/VBZ/null/Abstract/1.59/heated|cop/ heated/heated/JJ/null/NA/null//heated|mark|heated|nsubj|heated|cop|heated|advmod|heated|ccomp|heated|ccomp then/then/RB/null/Abstract/1.44/heated|advmod/ that/that/IN/null/NA/0.0/expand|mark/ gas/gas/NN/null/Concrete/4.29/expand|nsubj|rise|nsubj/ will/will/MD/null/NA/0.0/expand|aux/ expand/expand/VB/null/Focus/3.36/heated|ccomp/expand|mark|expand|nsubj|expand|aux|expand|cc|expand|conj:or or/or/CC/null/NA/0.0/expand|cc/ rise/rise/VB/null/Focus/4.04/heated|ccomp|expand|conj:or/rise|nsubj	PROTO-IF-THEN	subj-gas|subjl-gas|obj-heated then|objl-heated then|rel-is|rel-be|[gas,is,heated then]|[gas,be,heated then]/subj-gas|subjl-gas|obj-heated|objl-heated|rel-is|rel-be|[gas,is,heated]|[gas,be,heated]
c41d-ddb3-ef96-b433	to/to/TO/null/NA/0.0/wash|mark/ wash/wash/VB/null/Concrete/4.35/kind|csubj/wash|mark|wash|compound:prt away/away/RP/null/NA/0.0/wash|compound:prt/ is/be/VBZ/null/Abstract/1.59/kind|cop/ a/a/DT/null/NA/0.0/movement|det:qmod/a|mwe|a|mwe kind/kind/NN/null/Abstract/2.07/a|mwe/kind|csubj|kind|cop|kind|acl:by of/of/IN/null/NA/0.0/a|mwe/ movement/movement/NN/null/Focus/3.63//movement|det:qmod by/by/IN/null/NA/0.0/move|mark/ moving/move/VBG/null/Focus/3.82/kind|acl:by/move|mark|move|dobj water/water/NN/null/Concrete/5.0/move|dobj/	KINDOF	
769f-6117-1272-9b62	far/far/RB/null/Abstract/2.71/be|advmod/ is/be/VBZ/null/Abstract/1.59//be|advmod|be|nsubj the/the/DT/null/NA/0.0/opposite|det/ opposite/opposite/NN/null/Abstract/1.79/be|nsubj/opposite|det|opposite|nmod:of of/of/IN/null/NA/0.0/close|case/ close/close/NN/null/Focus/3.2/opposite|nmod:of/close|case	PROTO-OPPOSITES	
1ed3-919d-4a4c-1be7	the/the/DT/null/NA/0.0/sun|det/ sun/sun/NN/null/Concrete/4.83/source|nsubj/sun|det is/be/VBZ/null/Abstract/1.59/source|cop/ the/the/DT/null/NA/0.0/source|det/ source/source/NN/null/Abstract/2.96//source|nsubj|source|cop|source|det|source|nmod:of of/of/IN/null/NA/0.0/energy|case/ solar/solar/JJ/null/Focus/4.0/energy|amod/ energy/energy/NN/null/Focus/3.11/source|nmod:of/energy|case|energy|amod|energy|acl called/call/VBN/null/NA/null/energy|acl/call|xcomp sunlight/sunlight/NN/null/Concrete/4.45/call|xcomp/	SOURCEOF	subj-sun|subjl-sun|obj-solar energy|objl-solar energy|rel-is source of|rel-be source of|[sun,is source of,solar energy]|[sun,be source of,solar energy]/subj-sun|subjl-sun|obj-source|objl-source|rel-is|rel-be|[sun,is,source]|[sun,be,source]/subj-sun|subjl-sun|obj-energy|objl-energy|rel-is source of|rel-be source of|[sun,is source of,energy]|[sun,be source of,energy]/subj-sun|subjl-sun|obj-solar energy called|objl-solar energy call|rel-is source of|rel-be source of|[sun,is source of,solar energy called]|[sun,be source of,solar energy call]/subj-sun|subjl-sun|obj-energy called|objl-energy call|rel-is source of|rel-be source of|[sun,is source of,energy called]|[sun,be source of,energy call]
